word,set,usas_tag,usas_top_level,usas_top_level_name
a,remained,Z5,Z,Names and Grammar
ability,remained,X9.1+,X,"Psychological Actions, States and Processes"
able,remained,X9.1+,X,"Psychological Actions, States and Processes"
about,remained,Z5,Z,Names and Grammar
above,remained,Z5,Z,Names and Grammar
abroad,remained,M7,M,"Movement, Location, Travel and Transport"
absence,remained,S1.1.3-,S,"Social Actions, States and Processes"
absolute,remained,A5.1+++,A,General and Abstract Terms
accept,remained,A9+,A,General and Abstract Terms
accident,remained,A1.1.2,A,General and Abstract Terms
accord,remained,Q2.2,Q,Language and Communication
account,remained,Q2.2,Q,Language and Communication
accuse,remained,Q2.2,Q,Language and Communication
across,remained,Z5,Z,Names and Grammar
act,remained,A1.1.1,A,General and Abstract Terms
action,remained,A1.1.1,A,General and Abstract Terms
active,remained,A1.1.1,A,General and Abstract Terms
actor,remained,K4/S2.2m,K,"Entertainment, Sports and Games"
actual,remained,A5.4+,A,General and Abstract Terms
add,remained,N5+/A2.1,N,Numbers and Measurement
address,remained,H4,H,"Architecture, Housing and the Home"
admire,remained,S7.2+,S,"Social Actions, States and Processes"
admit,remained,Q2.2,Q,Language and Communication
adopt,remained,A9+,A,General and Abstract Terms
advance,remained,I1.1,I,Money and Commerce in Industry
advantage,remained,A5.1+,A,General and Abstract Terms
adventure,remained,X8+,X,"Psychological Actions, States and Processes"
advertise,remained,I2.2/Q2.1,I,Money and Commerce in Industry
advice,remained,Q2.2/S8+,Q,Language and Communication
advise,remained,Q2.2/S8+,Q,Language and Communication
affair,remained,A1.1.1,A,General and Abstract Terms
afford,remained,I1.1,I,Money and Commerce in Industry
afraid,remained,E5-,E,Emotion
after,remained,Z5,Z,Names and Grammar
afternoon,remained,T1.3,T,Time
again,remained,N6+,N,Numbers and Measurement
against,remained,A5.1-,A,General and Abstract Terms
age,remained,T3++,T,Time
agency,remained,I2.2/S5+c,I,Money and Commerce in Industry
agent,remained,I2.1/S2mf,I,Money and Commerce in Industry
ago,remained,T1.1.1,T,Time
agree,remained,A6.1+,A,General and Abstract Terms
ahead,remained,M6,M,"Movement, Location, Travel and Transport"
