word,set,concreteness,conc_category
a,remained,1.46,Very Abstract
ability,remained,1.81,Very Abstract
able,remained,2.38,Abstract
about,remained,1.77,Very Abstract
above,remained,3.33,Moderate
abroad,remained,2.72,Abstract
absence,remained,2.31,Abstract
absolute,remained,1.81,Very Abstract
accept,remained,3.03,Moderate
accident,remained,3.26,Moderate
accord,remained,1.57,Very Abstract
account,remained,3.08,Moderate
accuse,remained,2.25,Abstract
across,remained,3.07,Moderate
act,remained,2.46,Abstract
action,remained,2.86,Abstract
active,remained,3.32,Moderate
actor,remained,4.57,Very Concrete
actual,remained,2.22,Abstract
add,remained,3.00,Abstract
address,remained,3.89,Moderate
admire,remained,2.04,Abstract
admit,remained,2.32,Abstract
adopt,remained,2.36,Abstract
advance,remained,2.57,Abstract
advantage,remained,2.00,Very Abstract
adventure,remained,2.59,Abstract
advertise,remained,2.81,Abstract
advice,remained,2.73,Abstract
advise,remained,2.03,Abstract
affair,remained,2.45,Abstract
afford,remained,1.83,Very Abstract
afraid,remained,2.70,Abstract
after,remained,2.12,Abstract
afternoon,remained,3.70,Moderate
again,remained,2.00,Very Abstract
against,remained,1.80,Very Abstract
age,remained,2.86,Abstract
agency,remained,3.87,Moderate
agent,remained,3.61,Moderate
ago,remained,1.42,Very Abstract
agree,remained,2.31,Abstract
ahead,remained,3.00,Abstract
aim,remained,3.27,Moderate
air,remained,4.11,Concrete
alive,remained,3.14,Moderate
all,remained,2.27,Abstract
allow,remained,2.41,Abstract
almost,remained,1.66,Very Abstract
alone,remained,2.86,Abstract
along,remained,2.14,Abstract
already,remained,1.64,Very Abstract
also,remained,1.83,Very Abstract
although,remained,1.07,Very Abstract
altogether,remained,2.36,Abstract
always,remained,1.71,Very Abstract
among,remained,2.38,Abstract
amount,remained,2.74,Abstract
ancient,remained,2.04,Abstract
and,remained,1.52,Very Abstract
anger,remained,2.41,Abstract
angle,remained,3.50,Moderate
angry,remained,2.53,Abstract
animal,remained,4.61,Very Concrete
another,remained,2.69,Abstract
answer,remained,2.89,Abstract
anxiety,remained,2.21,Abstract
anxious,remained,1.68,Very Abstract
any,remained,1.72,Very Abstract
anybody,remained,2.67,Abstract
anyone,remained,2.70,Abstract
anything,remained,1.38,Very Abstract
anyway,remained,1.68,Very Abstract
anywhere,remained,2.21,Abstract
apart,remained,3.15,Moderate
appear,remained,3.13,Moderate
appearance,remained,2.57,Abstract
application,remained,3.40,Moderate
apply,remained,2.50,Abstract
appoint,remained,2.24,Abstract
approve,remained,1.85,Very Abstract
argue,remained,2.75,Abstract
arise,remained,3.17,Moderate
arm,remained,4.96,Very Concrete
army,remained,4.70,Very Concrete
around,remained,1.96,Very Abstract
arrange,remained,2.79,Abstract
arrest,remained,3.93,Moderate
arrive,remained,3.22,Moderate
art,remained,4.17,Concrete
article,remained,4.33,Concrete
ashamed,remained,1.74,Very Abstract
aside,remained,2.21,Abstract
ask,remained,2.52,Abstract
association,remained,2.30,Abstract
at,remained,2.07,Abstract
attack,remained,3.71,Moderate
attempt,remained,2.22,Abstract
attend,remained,3.17,Moderate
attention,remained,2.30,Abstract
attract,remained,2.73,Abstract
attraction,remained,2.24,Abstract
attractive,remained,2.64,Abstract
audience,remained,4.29,Concrete
aunt,remained,4.17,Concrete
autumn,remained,3.27,Moderate
average,remained,2.40,Abstract
avoid,remained,2.41,Abstract
away,remained,2.23,Abstract
baby,remained,5.00,Very Concrete
back,remained,4.33,Concrete
bad,remained,1.68,Very Abstract
bag,remained,4.90,Very Concrete
balance,remained,2.89,Abstract
ball,remained,5.00,Very Concrete
band,remained,4.68,Very Concrete
bank,remained,4.78,Very Concrete
bar,remained,4.67,Very Concrete
base,remained,3.86,Moderate
basic,remained,2.26,Abstract
basis,remained,1.83,Very Abstract
bath,remained,4.85,Very Concrete
battle,remained,4.00,Moderate
be,remained,1.85,Very Abstract
bear,remained,4.88,Very Concrete
beat,remained,3.97,Moderate
beauty,remained,2.93,Abstract
because,remained,1.22,Very Abstract
become,remained,1.54,Very Abstract
bed,remained,5.00,Very Concrete
bedroom,remained,4.90,Very Concrete
before,remained,1.96,Very Abstract
begin,remained,2.56,Abstract
behave,remained,1.78,Very Abstract
behavior,remained,2.19,Abstract
behind,remained,3.48,Moderate
belief,remained,1.19,Very Abstract
believe,remained,1.55,Very Abstract
bell,remained,4.96,Very Concrete
belong,remained,1.43,Very Abstract
below,remained,3.45,Moderate
belt,remained,4.90,Very Concrete
bend,remained,3.88,Moderate
beneath,remained,3.11,Moderate
beside,remained,2.59,Abstract
besides,remained,2.25,Abstract
between,remained,2.72,Abstract
beyond,remained,1.72,Very Abstract
big,remained,3.66,Moderate
